timestamp,FSR0,FSR1,FSR2,FSR3
26113.0,66.0,73.0,72.0,70.0
26114.0,63.0,70.0,67.0,66.0
26123.0,65.0,72.0,72.0,70.0
26132.0,67.0,74.0,73.0,71.0
26133.0,64.0,72.0,72.0,69.0
26155.0,64.0,69.0,69.0,68.0
26156.0,62.0,69.0,66.0,67.0
26176.0,64.0,71.0,71.0,69.0
26198.0,65.0,67.0,68.0,67.0
26215.0,63.0,68.0,68.0,66.0
26236.0,65.0,73.0,71.0,70.0
26237.0,63.0,69.0,69.0,66.0
26258.0,64.0,69.0,68.0,67.0
26273.0,67.0,75.0,75.0,70.0
26275.0,64.0,69.0,68.0,66.0
26293.0,66.0,74.0,76.0,72.0
26303.0,68.0,74.0,73.0,71.0
26313.0,65.0,72.0,72.0,70.0
26323.0,65.0,72.0,72.0,71.0
26343.0,65.0,74.0,73.0,70.0
26344.0,65.0,74.0,73.0,67.0
26353.0,67.0,73.0,71.0,70.0
26363.0,64.0,73.0,72.0,70.0
26373.0,66.0,71.0,71.0,68.0
26383.0,67.0,72.0,71.0,69.0
26384.0,65.0,74.0,70.0,69.0
26393.0,66.0,72.0,72.0,71.0
26403.0,65.0,72.0,72.0,70.0
26404.0,65.0,72.0,72.0,70.0
26413.0,65.0,71.0,70.0,69.0
26423.0,65.0,72.0,71.0,69.0
26434.0,61.0,68.0,68.0,67.0
26444.0,67.0,72.0,73.0,70.0
26477.0,61.0,68.0,67.0,67.0
26493.0,69.0,78.0,75.0,71.0
26500.0,64.0,70.0,70.0,68.0
26515.0,64.0,71.0,70.0,70.0
26532.0,68.0,76.0,77.0,74.0
26533.0,71.0,73.0,73.0,68.0
26542.0,66.0,73.0,74.0,71.0
26543.0,62.0,71.0,71.0,70.0
26551.0,71.0,76.0,74.0,72.0
26567.0,71.0,79.0,78.0,75.0
26568.0,69.0,73.0,72.0,73.0
26592.0,63.0,69.0,70.0,68.0
26600.0,60.0,66.0,67.0,65.0
26611.0,65.0,71.0,70.0,70.0
26639.0,63.0,70.0,71.0,67.0
26640.0,64.0,72.0,71.0,68.0
26654.0,65.0,72.0,71.0,68.0
26673.0,68.0,74.0,73.0,71.0
26674.0,63.0,69.0,68.0,68.0
26683.0,67.0,74.0,73.0,71.0
26693.0,64.0,71.0,71.0,69.0
26703.0,67.0,72.0,72.0,69.0
26704.0,65.0,72.0,71.0,70.0
26713.0,64.0,70.0,70.0,69.0
26723.0,66.0,73.0,72.0,69.0
26733.0,65.0,71.0,70.0,70.0
26734.0,62.0,67.0,66.0,66.0
26743.0,66.0,72.0,72.0,70.0
26753.0,64.0,71.0,69.0,67.0
26763.0,66.0,72.0,73.0,69.0
26764.0,65.0,72.0,72.0,70.0
26774.0,63.0,68.0,67.0,66.0
26793.0,65.0,72.0,70.0,68.0
26814.0,62.0,68.0,67.0,65.0
26823.0,68.0,76.0,74.0,70.0
26830.0,66.0,72.0,72.0,70.0
26846.0,66.0,74.0,72.0,72.0
26864.0,67.0,70.0,71.0,69.0
26896.0,63.0,67.0,69.0,68.0
26917.0,65.0,72.0,71.0,69.0
26918.0,64.0,71.0,70.0,68.0
26924.0,69.0,77.0,76.0,75.0
26943.0,70.0,80.0,77.0,75.0
26950.0,68.0,74.0,72.0,73.0
26965.0,70.0,78.0,77.0,73.0
26966.0,67.0,74.0,74.0,72.0
26994.0,64.0,70.0,70.0,69.0
26994.0,63.0,71.0,70.0,66.0
27015.0,63.0,69.0,68.0,67.0
27024.0,69.0,76.0,75.0,73.0
27041.0,64.0,70.0,71.0,69.0
27047.0,69.0,76.0,72.0,71.0
27057.0,62.0,67.0,66.0,64.0
27067.0,72.0,82.0,79.0,76.0
27102.0,68.0,75.0,74.0,71.0
29666.0,68.0,75.0,75.0,74.0
29672.0,60.0,67.0,67.0,64.0
29683.0,70.0,79.0,77.0,73.0
29705.0,70.0,78.0,77.0,74.0
29721.0,74.0,77.0,77.0,72.0
29722.0,67.0,74.0,74.0,73.0
29728.0,69.0,73.0,71.0,69.0
